"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"魔物讨伐团","0","0","15","0","0.63","0.63","0.04","0.10","-150.0","0.35","0.58","58","0.28","2018-08-24","905690"
"Overcooked! 2","0","0","15","0","0.53","0.53","0.04","0.02","50.0","0.09","0.16","4779","0.28","2018-08-07","728880"
"Skirmish Line","0","0","15","0","0.78","0.78","0.05","0.28","-460.0","4.70","3.18","37","0.35","2018-07-31","666820"
"Element","0","0","15","0","0.60","0.60","0.04","0.18","-350.0","0.19","0.08","65","0.28","2018-07-27","422300"
"Legend Of Mercy 神医魔导","0","0","15","0","0.69","0.69","0.05","0.07","-40.0","0.67","0.36","57","0.35","2018-07-20","676090"
"Remyadry","0","0","15","0","0.91","0.91","0.06","0.09","-50.0","0.28","0.10","51","0.42","2018-07-18","867490"
"Shining Resonance Refrain","0","0","15","0","0.59","0.59","0.04","0.09","-125.0","0.05","0.09","208","0.28","2018-07-11","809890"
"Academia : School Simulator","0","0","15","0","0.58","0.58","0.04","0.03","25.0","0.25","0.05","202","0.28","2018-07-01","672630"
"Rogue Empire","0","0","15","0","0.69","0.69","0.05","N/A","0.0","1.36","0.24","53","0.35","2018-05-23","650940"
"ELMIA","0","0","15","0","1.37","1.37","0.09","N/A","0.0","1.31","1.97","18","0.63","2018-05-23","738020"
"3030 Deathwar Redux - A Space Odyssey","0","0","15","0","0.79","0.79","0.05","0.04","20.0","0.06","0.07","133","0.35","2018-05-21","464360"
"Forgotton Anne","0","0","15","0","0.61","0.61","0.04","0.03","25.0","0.06","0.05","193","0.28","2018-05-15","542050"
"Horizon Chase Turbo","0","0","15","0","0.61","0.61","0.04","0.02","50.0","0.04","0.03","280","0.28","2018-05-15","389140"
"Mirror","0","0","15","0","0.60","0.60","0.04","0.02","50.0","0.04","0.03","3498","0.28","2018-04-19","644560"
"Re Angel","0","0","15","0","1.71","1.71","0.11","0.14","-27.3","1.91","3.97","18","0.77","2018-04-18","510680"
"DYNASTY WARRIORS 9","0","0","15","0","0.78","0.78","0.05","0.04","20.0","0.14","0.15","126","0.35","2018-04-12","730310"
"The Adventure Pals","0","0","15","0","0.58","0.58","0.04","0.02","50.0","0.10","0.03","256","0.28","2018-03-31","396710"
"Wuxing Master 五行师(CCG)","0","0","15","0","0.70","0.70","0.05","0.09","-80.0","0.64","0.30","44","0.35","2018-03-19","705810"
"Where the Water Tastes Like Wine","0","0","15","0","0.45","0.45","0.03","0.03","0.0","0.05","0.08","445","0.21","2018-03-15","447120"
"Warhammer: Vermintide 2","0","0","15","0","0.63","0.63","0.04","0.03","25.0","0.05","0.05","3208","0.28","2018-03-08","552500"
"Puyo Puyo™Tetris®","0","0","15","0","0.52","0.52","0.03","0.04","-33.3","0.05","0.05","250","0.21","2018-02-27","546050"
"Bacon Man: An Adventure","0","0","15","0","1.67","1.67","0.11","1.92","-1,645.5","0.85","0.20","27","0.77","2018-02-16","327760"
"Onmyoji","0","0","15","0","0.65","0.65","0.04","0.04","0.0","0.08","0.09","159","0.28","2018-02-13","551170"
"Wars Across The World","0","0","15","0","0.66","0.66","0.04","0.44","-1,000.0","10.61","0.20","51","0.28","2018-02-02","341040"
"Dead Cells","0","0","15","0","0.61","0.61","0.04","0.03","25.0","0.05","0.05","3065","0.28","2017-12-22","588650"
"My Free Zoo","0","0","15","0","1.23","1.23","0.08","0.05","37.5","1.98","0.20","39","0.56","2017-12-21","694130"
